poli,relig_attend,lgbt_feel,equal_mar,lgbt_close,age,sex,race,sexori,me1,me2,fvr1,fvr2
4,7,100,5,2,52,2,1,3,3.420000000000001,3.6019999999999994,72.332,71.444
6,2,67.5,5,0,64,2,1,3,3.5059999999999993,3.363,55.916000000000004,41.532000000000004
4,2,72.5,5,1.5,47,2,1,3,4.329999999999999,4.3835,72.78199999999998,67.959
4,0,50,4,0,58,1,1,3,4.161000000000001,4.212000000000001,59.552000000000014,48.153
4,2,45,5,1.5,52,2,3,3,3.9579999999999993,4.0275,57.02999999999998,53.77900000000001
3,0,15,4,0,67,1,1,3,4.258,4.372000000000001,64.41499999999999,53.614000000000004
2,0,100,5,4,53,2,1,3,5.0680000000000005,4.907000000000001,84.72800000000001,80.7
2,3,50,5,5.5,26,2,3,3,4.78,4.810499999999999,75.846,79.457
3,2,100,5,2.5,29,2,1,3,4.912999999999999,4.974000000000001,83.15299999999999,81.992
2,0,92.5,5,2,30,1,1,3,5.183000000000001,5.202,78.662,75.10300000000001
4,0,50,5,2.5,37,2,1,3,4.838,4.874500000000001,74.594,73.077
2,2,87.5,5,3.5,27,1,1,3,4.909000000000001,4.9175,79.50200000000001,79.016
5,7,0,1,0,47,2,2,3,3.1100000000000003,2.9229999999999996,59.287,51.868999999999986
3,2,22.5,4,1.5,57,1,1,3,4.11,4.187,66.68299999999999,61.421
5,7,55,5,0,54,2,1,3,3.1250000000000004,2.9299999999999993,65.225,56.14699999999999
3,2,100,5,5,25,2,1,3,4.984999999999999,5.061000000000001,83.969,88.901
6,1,32.5,4,1,56,1,1,3,3.515,3.5239999999999996,46.67600000000001,38.93900000000001
5,5,35,2,0.5,67,1,1,3,2.92,2.8700000000000006,51.58699999999998,43.13699999999999
6,2,0,2,0,55,2,1,3,3.6679999999999997,3.525,57.75199999999999,44.196000000000005
5,0,50,4,1.5,27,2,1,3,4.759,4.791,69.935,66.136
4,7,70,5,2.5,35,1,1,3,3.427000000000001,3.7095,65.042,68.12799999999999
2,1,85,4,0,47,2,1,3,5.0120000000000005,5.144,86.066,78.358
4,0,85,4,5,60,1,1,3,4.125000000000001,4.191,59.14400000000001,64.99099999999999
5,7,100,5,4.5,51,2,2,3,3.0380000000000003,3.7419999999999995,58.471,70.61999999999999
4,5,50,4,0,29,2,2,3,4.021000000000001,3.943,69.43,63.91
3,1,60,5,0,21,2,2,3,5.08,5.157,77.305,71.57900000000001
4,7,85,3,0,53,1,1,3,3.103000000000001,2.993,61.37000000000001,54.57499999999999
4,0,87.5,5,3.5,66,2,2,3,4.175000000000001,4.2225,61.312000000000005,61.629
3,0,85,5,0,30,2,2,3,5.082,5.182,75.35499999999999,68.209
6,8,50,1,0,78,2,1,3,2.2699999999999996,1.9890000000000003,53.74400000000001,41.624
1,0,77.5,5,4.5,63,1,1,3,4.848,4.548000000000001,78.62899999999999,71.345
5,7,72.5,3,1,41,1,1,3,3.0600000000000005,3.085,57.11899999999999,54.43199999999999
1,7,92.5,5,15,65,2,1,3,3.963,4.53,89.77699999999999,83.441
6,7,37.5,2,1.5,46,2,1,3,3.0100000000000002,3.1105,60.157999999999994,58.74499999999999
2,4,60,5,2,70,2,1,3,4.106000000000001,4.186999999999999,81.71600000000001,75.85600000000001
4,1,77.5,3,4,55,2,1,3,4.3500000000000005,4.4559999999999995,71.036,73.572
2,2,100,5,4,26,1,1,3,4.9270000000000005,4.918000000000001,79.70599999999999,79.887
4,7,40,1,2,56,1,1,3,3.049000000000001,3.2529999999999992,60.758,60.266999999999996
2,0,65,4,0,42,1,1,1,5.089,5.152,90.60600000000001,77.899
6,7,50,2,0,37,2,1,3,3.172,2.914,61.99400000000001,53.054
4,2,30,4,3,71,2,1,3,3.8979999999999997,4.022000000000001,67.886,66.00000000000001
4,0,5.5,4,0.5,65,1,3,3,3.753000000000001,3.8215,43.392,35.123999999999995
5,0,85,4,5,39,1,1,3,4.244000000000001,4.452,56.72899999999999,68.782
2,3,72.5,4,6.5,41,1,1,3,4.493000000000001,4.5165,76.75999999999999,78.84599999999999
5,5,50,3,0,45,2,3,3,3.3329999999999997,3.1999999999999997,52.10099999999998,44.699
2,0,100,5,5,58,2,1,2,5.039000000000001,4.742000000000001,90.90400000000001,84.80600000000001
4,2,75,5,1.5,25,2,1,3,4.725999999999999,4.7795000000000005,77.26999999999998,74.471
6,7,7.5,1,0,67,1,1,3,2.333,2.097,45.11600000000001,34.18099999999999
7,8,50,2,0,69,2,1,3,2.1729999999999996,1.8290000000000004,48.88100000000001,36.16299999999999
7,7,50,3,0,51,1,3,3,2.0800000000000005,1.7969999999999997,26.949000000000005,18.09199999999999
4,2,50,4,0,39,1,2,2,4.095,4.051,63.48599999999999,53.219
3,4,80,5,1.5,48,2,2,3,4.102,4.185,72.13900000000001,69.056
4,5,60,3,0,65,1,1,3,3.2150000000000003,3.1510000000000002,58.693999999999996,49.611
5,3,42.5,4,0,38,1,2,3,3.6290000000000004,3.5559999999999996,49.90900000000001,41.715999999999994
2,2,62.5,4,2.5,69,1,1,3,4.1530000000000005,4.1965,70.934,65.43400000000001
5,2,30,4,2.5,56,1,1,3,3.61,3.7720000000000002,53.489,53.457
4,4,85,5,2.5,44,1,1,3,3.7570000000000006,3.9435000000000002,62.864,63.55599999999999
6,7,87.5,2,2.5,62,2,1,3,2.7220000000000004,3.0614999999999997,56.89400000000001,59.57899999999998
5,3,82.5,5,2,51,2,1,3,3.835,3.952,65.381,63.295
2,7,55,5,4.5,72,1,1,3,3.279000000000001,3.6325000000000003,70.892,69.746
4,1,65,5,0,36,2,1,3,4.692000000000001,4.698,74.912,65.364
5,0,0,2,2.5,61,1,1,3,3.8480000000000008,3.946,52.24099999999999,50.705
2,5,100,5,6,20,1,1,1,4.665,4.799,95.664,94.33699999999999
4,7,85,5,3.5,58,2,1,3,3.312000000000001,3.7295,71.108,74.603
3,2,65,5,0.5,44,1,1,3,4.344,4.415000000000001,69.33500000000001,62.979
2,5,82.5,4,0.5,25,2,1,3,4.752,4.807500000000001,91.00999999999999,88.227
6,3,50,2,0,75,2,1,3,3.144,2.978,53.78600000000001,38.98199999999999
4,6,55,4,2,68,2,1,3,3.2960000000000003,3.4569999999999994,68.95400000000001,66.05800000000002
1,0,70,5,3.5,28,1,1,3,5.478000000000001,5.298,85.769,81.639
3,3,62.5,5,1,23,1,1,3,4.558000000000001,4.631000000000001,73.733,71.018
3,2,85,5,0,25,1,3,3,4.404,4.488,58.479000000000006,54.757999999999996
4,7,100,5,1.5,44,2,1,3,3.564000000000001,3.6674999999999995,73.964,72.167
4,4,50,4,0,44,2,1,3,4.056,3.993,73.62199999999999,65.114
2,2,70,5,4,58,2,1,3,4.65,4.6190000000000015,83.936,80.408
2,4,92.5,5,4,22,1,1,3,4.671000000000001,4.792000000000001,80.75,82.259
3,7,100,5,2.5,54,2,1,3,3.6430000000000002,3.8639999999999994,78.62299999999999,77.772
5,1,67.5,2,0,59,2,1,3,4.019000000000001,3.9619999999999993,63.520999999999994,50.431000000000004
2,0,80,5,3,33,1,1,3,5.1290000000000004,5.069000000000001,78.05000000000001,75.421
3,3,85,5,0,74,2,1,3,3.939,3.962,74.08699999999999,63.653000000000006
3,2,60,5,7.5,58,2,1,3,4.391,4.482000000000001,77.237,84.858
3,1,85,5,0,60,2,1,3,4.519,4.588,76.715,66.38500000000002
2,2,100,5,1.5,70,2,1,3,4.434,4.490500000000001,81.488,73.98100000000001
4,7,85,5,0,54,2,1,3,3.384000000000001,3.2519999999999993,71.924,64.27199999999999
4,7,50,1,0,54,2,2,3,3.2430000000000008,3.1189999999999993,64.55800000000002,57.92199999999998
4,2,85,3,2,32,2,2,3,4.459,4.5440000000000005,68.476,67.76400000000001
4,7,100,3,0,23,2,1,3,3.942000000000001,3.809999999999999,78.24800000000002,73.44800000000001
6,7,50,1,0,58,1,1,3,2.4950000000000006,2.259,46.952000000000005,36.84499999999999
3,3,85,2,4.5,67,1,1,3,3.766,3.9370000000000003,64.757,65.911
2,1,50,5,4,52,2,1,2,4.9830000000000005,4.83,92.242,85.97000000000001
5,0,92.5,4,6.5,38,2,1,3,4.561,4.813,67.691,86.00999999999999
6,4,50,2,0,39,2,1,3,3.628,3.4389999999999996,61.24400000000001,50.344
4,0,50,4,0,75,1,1,3,3.8550000000000013,3.906,56.08400000000001,43.120999999999995
6,7,50,1,0.5,42,1,1,3,2.7830000000000004,2.6665,50.216,44.365999999999985
5,7,40,4,0,67,2,1,3,2.8910000000000005,2.6959999999999993,62.572999999999986,52.29899999999999
4,0,100,4,2.5,24,2,2,2,4.992,4.979500000000001,77.07600000000002,74.955
2,3,77.5,5,2.5,44,2,2,3,4.597,4.658500000000001,79.54000000000002,77.113
3,0,100,5,5,58,1,1,3,4.420000000000001,4.344,66.251,68.008
