poli,relig_attend,lgbt_feel,equal_mar,lgbt_close,age,sex,race,sexori
NA,NA,100,NA,5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,85,NA,6,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,3.5,NA,NA,NA,NA
NA,NA,100,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,55,NA,6,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,4,NA,NA,NA,NA
NA,NA,92.5,NA,3.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,67.5,NA,0,NA,NA,NA,NA
NA,NA,85,NA,2,NA,NA,NA,NA
NA,NA,15,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,2,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,90,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,75,NA,1.5,NA,NA,NA,NA
NA,NA,95,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,85,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,55,NA,2,NA,NA,NA,NA
NA,NA,65,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,25,NA,2.5,NA,NA,NA,NA
NA,NA,100,NA,8,NA,NA,NA,NA
NA,NA,40,NA,2,NA,NA,NA,NA
NA,NA,70,NA,0.5,NA,NA,NA,NA
NA,NA,77.5,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,55,NA,2,NA,NA,NA,NA
NA,NA,85,NA,2,NA,NA,NA,NA
NA,NA,65,NA,2.5,NA,NA,NA,NA
NA,NA,67.5,NA,1.5,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,72.5,NA,2.5,NA,NA,NA,NA
NA,NA,47.5,NA,1,NA,NA,NA,NA
NA,NA,40,NA,0,NA,NA,NA,NA
NA,NA,50,NA,5,NA,NA,NA,NA
NA,NA,100,NA,8.5,NA,NA,NA,NA
NA,NA,100,NA,5.5,NA,NA,NA,NA
NA,NA,45,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,85,NA,5,NA,NA,NA,NA
NA,NA,67.5,NA,0.5,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,60,NA,1.5,NA,NA,NA,NA
NA,NA,60,NA,0,NA,NA,NA,NA
NA,NA,72.5,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,92.5,NA,4.5,NA,NA,NA,NA
NA,NA,40,NA,0.5,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,50,NA,5,NA,NA,NA,NA
NA,NA,100,NA,5,NA,NA,NA,NA
NA,NA,98.5,NA,0,NA,NA,NA,NA
NA,NA,85,NA,4.5,NA,NA,NA,NA
NA,NA,100,NA,1.5,NA,NA,NA,NA
NA,NA,30,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,27.5,NA,0,NA,NA,NA,NA
NA,NA,55,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,47.5,NA,0,NA,NA,NA,NA
NA,NA,100,NA,7.5,NA,NA,NA,NA
NA,NA,65,NA,2.5,NA,NA,NA,NA
NA,NA,50,NA,1.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,55,NA,2.5,NA,NA,NA,NA
NA,NA,37.5,NA,1.5,NA,NA,NA,NA
NA,NA,60,NA,5,NA,NA,NA,NA
NA,NA,50,NA,0.5,NA,NA,NA,NA
NA,NA,45,NA,1.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,60,NA,3.5,NA,NA,NA,NA
NA,NA,55,NA,0,NA,NA,NA,NA
NA,NA,80,NA,0.5,NA,NA,NA,NA
NA,NA,60,NA,1.5,NA,NA,NA,NA
NA,NA,85,NA,4,NA,NA,NA,NA
NA,NA,60,NA,3.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,5,NA,NA,NA,NA
NA,NA,NA,NA,0.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,60,NA,3.5,NA,NA,NA,NA
NA,NA,70,NA,8,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,3,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,45,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,70,NA,0,NA,NA,NA,NA
NA,NA,85,NA,7.5,NA,NA,NA,NA
NA,NA,40,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,50,NA,2,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2,NA,NA,NA,NA
NA,NA,100,NA,10,NA,NA,NA,NA
NA,NA,100,NA,1,NA,NA,NA,NA
NA,NA,100,NA,5.5,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,100,NA,4,NA,NA,NA,NA
NA,NA,100,NA,3.5,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,70,NA,4,NA,NA,NA,NA
NA,NA,85,NA,2,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2.5,NA,NA,NA,NA
NA,NA,65,NA,0.5,NA,NA,NA,NA
NA,NA,85,NA,5,NA,NA,NA,NA
NA,NA,57.5,NA,0,NA,NA,NA,NA
NA,NA,65,NA,0,NA,NA,NA,NA
