age,sex,race,sexori,relig_attend,equal_mar,poli,lgbt_close,lgbt_feel
NA,NA,NA,NA,NA,NA,NA,5,100
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,6,85
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,3.5,50
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,6,55
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,4,92.5
NA,NA,NA,NA,NA,NA,NA,3.5,92.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,67.5
NA,NA,NA,NA,NA,NA,NA,2,85
NA,NA,NA,NA,NA,NA,NA,0,15
NA,NA,NA,NA,NA,NA,NA,2,92.5
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,90
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,1.5,75
NA,NA,NA,NA,NA,NA,NA,0,95
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,85
NA,NA,NA,NA,NA,NA,NA,1.5,NA
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,2,55
NA,NA,NA,NA,NA,NA,NA,2.5,65
NA,NA,NA,NA,NA,NA,NA,4,100
NA,NA,NA,NA,NA,NA,NA,2.5,25
NA,NA,NA,NA,NA,NA,NA,8,100
NA,NA,NA,NA,NA,NA,NA,2,40
NA,NA,NA,NA,NA,NA,NA,0.5,70
NA,NA,NA,NA,NA,NA,NA,0,77.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2,55
NA,NA,NA,NA,NA,NA,NA,2,85
NA,NA,NA,NA,NA,NA,NA,2.5,65
NA,NA,NA,NA,NA,NA,NA,1.5,67.5
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,2.5,72.5
NA,NA,NA,NA,NA,NA,NA,1,47.5
NA,NA,NA,NA,NA,NA,NA,0,40
NA,NA,NA,NA,NA,NA,NA,5,50
NA,NA,NA,NA,NA,NA,NA,8.5,100
NA,NA,NA,NA,NA,NA,NA,5.5,100
NA,NA,NA,NA,NA,NA,NA,0,45
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,5,85
NA,NA,NA,NA,NA,NA,NA,0.5,67.5
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,1.5,60
NA,NA,NA,NA,NA,NA,NA,0,60
NA,NA,NA,NA,NA,NA,NA,0,72.5
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,4.5,92.5
NA,NA,NA,NA,NA,NA,NA,0.5,40
NA,NA,NA,NA,NA,NA,NA,4,100
NA,NA,NA,NA,NA,NA,NA,5,50
NA,NA,NA,NA,NA,NA,NA,5,100
NA,NA,NA,NA,NA,NA,NA,0,98.5
NA,NA,NA,NA,NA,NA,NA,4.5,85
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,0,30
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,0,27.5
NA,NA,NA,NA,NA,NA,NA,0,55
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,47.5
NA,NA,NA,NA,NA,NA,NA,7.5,100
NA,NA,NA,NA,NA,NA,NA,2.5,65
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,2.5,55
NA,NA,NA,NA,NA,NA,NA,1.5,37.5
NA,NA,NA,NA,NA,NA,NA,5,60
NA,NA,NA,NA,NA,NA,NA,0.5,50
NA,NA,NA,NA,NA,NA,NA,1.5,45
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,3.5,60
NA,NA,NA,NA,NA,NA,NA,0,55
NA,NA,NA,NA,NA,NA,NA,0.5,80
NA,NA,NA,NA,NA,NA,NA,1.5,60
NA,NA,NA,NA,NA,NA,NA,4,85
NA,NA,NA,NA,NA,NA,NA,3.5,60
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,5,100
NA,NA,NA,NA,NA,NA,NA,0.5,NA
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,3.5,60
NA,NA,NA,NA,NA,NA,NA,8,70
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,3,100
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,45
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,0,70
NA,NA,NA,NA,NA,NA,NA,7.5,85
NA,NA,NA,NA,NA,NA,NA,0,40
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,2,100
NA,NA,NA,NA,NA,NA,NA,10,100
NA,NA,NA,NA,NA,NA,NA,1,100
NA,NA,NA,NA,NA,NA,NA,5.5,100
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,4,100
NA,NA,NA,NA,NA,NA,NA,3.5,100
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,4,70
NA,NA,NA,NA,NA,NA,NA,2,85
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,0.5,65
NA,NA,NA,NA,NA,NA,NA,5,85
NA,NA,NA,NA,NA,NA,NA,0,57.5
NA,NA,NA,NA,NA,NA,NA,0,65
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,2,100
NA,NA,NA,NA,NA,NA,NA,6.5,100
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,4.5,100
NA,NA,NA,NA,NA,NA,NA,1.5,75
NA,NA,NA,NA,NA,NA,NA,6,100
NA,NA,NA,NA,NA,NA,NA,1.5,45
NA,NA,NA,NA,NA,NA,NA,0,88
NA,NA,NA,NA,NA,NA,NA,2.5,70
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,2,100
NA,NA,NA,NA,NA,NA,NA,0.5,67.5
NA,NA,NA,NA,NA,NA,NA,2,70
NA,NA,NA,NA,NA,NA,NA,6,50
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,0,57.5
NA,NA,NA,NA,NA,NA,NA,4,55
NA,NA,NA,NA,NA,NA,NA,4,50
NA,NA,NA,NA,NA,NA,NA,0,20
NA,NA,NA,NA,NA,NA,NA,2.5,85
NA,NA,NA,NA,NA,NA,NA,0,75
NA,NA,NA,NA,NA,NA,NA,0,70
NA,NA,NA,NA,NA,NA,NA,0,49.5
NA,NA,NA,NA,NA,NA,NA,0,67.5
NA,NA,NA,NA,NA,NA,NA,3.5,92.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2,40
NA,NA,NA,NA,NA,NA,NA,5.5,80
NA,NA,NA,NA,NA,NA,NA,5,87.5
NA,NA,NA,NA,NA,NA,NA,2,100
NA,NA,NA,NA,NA,NA,NA,5.5,50
NA,NA,NA,NA,NA,NA,NA,0,5
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,3,100
NA,NA,NA,NA,NA,NA,NA,8.5,60
NA,NA,NA,NA,NA,NA,NA,0.5,75
