age,sex,race,sexori,relig_attend,equal_mar,poli,lgbt_close,lgbt_feel
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,3,100
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,2.5,55
NA,NA,NA,NA,NA,NA,NA,0,40
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,NA
NA,NA,NA,NA,NA,NA,NA,0,92.5
NA,NA,NA,NA,NA,NA,NA,5,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0.5,75
NA,NA,NA,NA,NA,NA,NA,3.5,50
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,4.5,90
NA,NA,NA,NA,NA,NA,NA,5.5,77.5
NA,NA,NA,NA,NA,NA,NA,0.5,32.5
NA,NA,NA,NA,NA,NA,NA,2,92.5
NA,NA,NA,NA,NA,NA,NA,1.5,62.5
NA,NA,NA,NA,NA,NA,NA,2.5,60
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,90
NA,NA,NA,NA,NA,NA,NA,3.5,70
NA,NA,NA,NA,NA,NA,NA,2,55
NA,NA,NA,NA,NA,NA,NA,9,72.5
NA,NA,NA,NA,NA,NA,NA,2.5,85
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,3.5,50
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,0,72.5
NA,NA,NA,NA,NA,NA,NA,3,50
NA,NA,NA,NA,NA,NA,NA,1.5,40
NA,NA,NA,NA,NA,NA,NA,1.5,85
NA,NA,NA,NA,NA,NA,NA,3.5,80
NA,NA,NA,NA,NA,NA,NA,4,50
NA,NA,NA,NA,NA,NA,NA,1,100
NA,NA,NA,NA,NA,NA,NA,3.5,87.5
NA,NA,NA,NA,NA,NA,NA,2.5,92.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,6,92.5
NA,NA,NA,NA,NA,NA,NA,0,92.5
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2,75
NA,NA,NA,NA,NA,NA,NA,0,70
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,3,67.5
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,2,55
NA,NA,NA,NA,NA,NA,NA,1.5,37.5
NA,NA,NA,NA,NA,NA,NA,5,85
NA,NA,NA,NA,NA,NA,NA,0,85
NA,NA,NA,NA,NA,NA,NA,0.5,50
NA,NA,NA,NA,NA,NA,NA,0,85
NA,NA,NA,NA,NA,NA,NA,1.5,70
NA,NA,NA,NA,NA,NA,NA,1.5,92.5
NA,NA,NA,NA,NA,NA,NA,3,100
NA,NA,NA,NA,NA,NA,NA,0,70
NA,NA,NA,NA,NA,NA,NA,0.5,50
NA,NA,NA,NA,NA,NA,NA,2,0
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,0,20
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,0,22.5
NA,NA,NA,NA,NA,NA,NA,3,0
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,5,50
NA,NA,NA,NA,NA,NA,NA,1.5,85.5
NA,NA,NA,NA,NA,NA,NA,0,92.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,6.5,70
NA,NA,NA,NA,NA,NA,NA,5.5,85
NA,NA,NA,NA,NA,NA,NA,2,100
NA,NA,NA,NA,NA,NA,NA,7.5,85
NA,NA,NA,NA,NA,NA,NA,1.5,70
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,0.5,20
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,3.5,50
NA,NA,NA,NA,NA,NA,NA,3.5,40
NA,NA,NA,NA,NA,NA,NA,0,40
NA,NA,NA,NA,NA,NA,NA,3.5,75
NA,NA,NA,NA,NA,NA,NA,2.5,60
NA,NA,NA,NA,NA,NA,NA,0,7.5
NA,NA,NA,NA,NA,NA,NA,2,60
NA,NA,NA,NA,NA,NA,NA,2.5,65
NA,NA,NA,NA,NA,NA,NA,0,65
NA,NA,NA,NA,NA,NA,NA,0,77.5
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,4.5,75
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,4,67.5
NA,NA,NA,NA,NA,NA,NA,4,52.5
NA,NA,NA,NA,NA,NA,NA,4.5,55
NA,NA,NA,NA,NA,NA,NA,2.5,NA
NA,NA,NA,NA,NA,NA,NA,2.5,85
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,0,15
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,3,100
NA,NA,NA,NA,NA,NA,NA,7.5,100
NA,NA,NA,NA,NA,NA,NA,3,67.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,0
51,1,1,3,7,NA,4,0,0
52,2,1,3,2,5,2,0,90
48,1,1,NA,6,1,7,5,50
48,2,1,1,1,3,6,4,75
37,1,1,3,0,5,1,8,95
56,2,2,3,6,NA,5,2,40
29,2,1,3,2,NA,4,2.5,50
80,1,1,NA,0,1,4,0,25
61,2,1,3,2,4,6,1.5,75
58,2,1,3,3,4,4,7,60
62,1,1,3,3,4,4,0,25
45,2,1,3,4,NA,3,2,55
57,2,1,3,4,NA,6,7.5,NA
73,2,1,3,5,NA,6,0,60
46,2,3,NA,3,2,6,0,50
36,1,1,3,5,NA,4,0.5,32.5
50,2,3,NA,3,4,2,0,70
52,1,1,3,0,5,2,0,55
66,1,1,3,0,4,4,0,57.5
68,2,1,NA,7,NA,6,4,50
38,1,1,3,5,NA,5,0,50
50,2,2,NA,8,3,4,0.5,NA
19,2,2,2,3,5,2,3,92.5
33,2,1,3,0,NA,4,2,55
59,2,2,3,7,1,2,2,55
34,1,1,NA,7,4,6,2,75
55,2,2,3,7,5,4,0,100
NA,NA,NA,NA,NA,NA,NA,0,59
NA,NA,NA,NA,NA,NA,NA,2.5,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0.5,55
NA,NA,NA,NA,NA,NA,NA,1.5,95
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,1,70
NA,NA,NA,NA,NA,NA,NA,3,50
NA,NA,NA,NA,NA,NA,NA,7,85
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,8.5,85
NA,NA,NA,NA,NA,NA,NA,5,100
NA,NA,NA,NA,NA,NA,NA,2,77.5
NA,NA,NA,NA,NA,NA,NA,1,85
NA,NA,NA,NA,NA,NA,NA,4.5,50
NA,NA,NA,NA,NA,NA,NA,6.5,75
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,2.5,100
86,1,1,3,7,3,4,0,NA
32,1,1,3,0,5,4,1.5,37.5
61,2,1,NA,7,5,2,0,86
65,1,1,3,2,4,4,0,50
25,1,1,1,2,NA,NA,2.5,55
43,1,1,NA,2,4,5,2,50
53,2,1,3,7,2,4,0,50
24,1,1,NA,0,3,2,0,50
33,1,2,3,2,5,4,0,50
58,2,1,3,7,4,5,0,62.5
58,2,1,3,8,2,7,2,NA
75,2,1,3,1,1,6,0,NA
69,1,1,3,8,NA,6,0,0
63,2,1,3,1,4,4,5,68
46,1,2,3,0,NA,4,2,60
48,1,2,3,7,NA,6,0,50
54,2,1,NA,6,1,NA,0,NA
67,2,2,NA,3,2,4,0,50
58,1,1,NA,2,NA,2,2.5,75
62,1,1,3,8,NA,6,0,2.5
42,2,1,3,0,4,4,2,50
72,1,1,3,2,4,5,0,55
35,1,1,3,0,NA,4,2,0
36,2,1,NA,7,2,7,0,50
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,77.5
NA,NA,NA,NA,NA,NA,NA,0,77.5
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,0,22.5
NA,NA,NA,NA,NA,NA,NA,2,67.5
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,4,85
NA,NA,NA,NA,NA,NA,NA,10,50
NA,NA,NA,NA,NA,NA,NA,1.5,92.5
37,2,1,3,2,NA,4,4,50
67,2,1,3,7,2,5,0,0
89,1,1,3,8,NA,4,0,50
78,2,1,3,7,NA,4,0,40
58,2,1,3,7,2,6,0,50
21,2,2,3,0,5,4,2,100
69,2,1,3,7,NA,4,1.5,40
26,1,1,NA,0,5,4,2,77.5
38,1,2,NA,0,3,6,2.5,100
26,2,2,3,0,NA,5,2.5,40
60,1,1,NA,7,5,2,3.5,77.5
64,2,2,3,2,5,4,0,85
65,1,1,NA,0,4,4,2.5,77.5
62,2,1,3,1,5,1,4,100
66,2,1,3,5,2,4,0,50
35,2,1,3,1,4,4,0,45
64,1,1,1,6,NA,2,1.5,80
68,2,1,NA,7,3,3,0,82.5
52,1,1,3,3,NA,4,2,55
57,1,1,NA,0,2,5,0,70
31,2,1,3,7,NA,7,2,50
53,2,1,3,8,2,6,0,27.5
53,2,2,3,7,NA,5,0,NA
47,2,1,NA,7,1,5,0,100
65,1,1,NA,6,4,6,2.5,50
64,1,1,3,5,NA,6,4,50
32,2,1,3,2,5,6,0,60
67,1,1,NA,3,3,4,1.5,37.5
26,1,1,3,0,NA,4,0,50
23,2,1,2,2,5,5,0,55
NA,NA,NA,NA,NA,NA,NA,0,77.5
NA,NA,NA,NA,NA,NA,NA,1.5,70
NA,NA,NA,NA,NA,NA,NA,0,72.5
NA,NA,NA,NA,NA,NA,NA,5,42.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,4.5,100
NA,NA,NA,NA,NA,NA,NA,0,60
NA,NA,NA,NA,NA,NA,NA,4.5,100
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,0,92.5
NA,NA,NA,NA,NA,NA,NA,0,20
NA,NA,NA,NA,NA,NA,NA,1.5,87.5
NA,NA,NA,NA,NA,NA,NA,0,50
52,2,2,3,8,NA,6,2,40
19,1,1,3,5,NA,4,3,30
59,1,1,NA,3,3,5,1.5,75
37,1,1,3,0,NA,3,1.5,75
78,1,3,NA,2,1,3,8,40
64,1,1,3,6,5,2,0,70
58,2,3,3,7,NA,6,2.5,40
35,1,1,NA,1,5,3,0,55
55,2,1,3,3,NA,6,2,70
57,2,1,3,5,4,4,0,55
31,1,1,NA,0,5,4,2.5,57.5
43,2,1,3,7,NA,6,2.5,85
50,2,1,3,5,5,6,11.5,100
62,2,1,3,0,5,4,2.5,60
60,1,1,3,3,NA,6,0,40
30,2,1,3,0,5,2,4,70
60,1,3,3,8,NA,5,2.5,15
58,2,1,3,4,2,1,12,85
68,2,1,3,8,NA,2,0,100
52,2,1,3,7,5,4,2,100
27,2,2,NA,2,5,6,0,50
64,2,1,3,2,5,6,0,67.5
47,2,1,3,2,5,4,1.5,72.5
30,1,1,NA,1,5,2,1.5,80
61,2,3,NA,5,5,2,0,100
58,1,1,3,0,4,4,0,50
52,2,3,3,2,5,4,1.5,45
66,1,2,NA,3,4,2,5,67.5
46,1,2,NA,2,5,4,3.5,100
67,1,1,3,0,4,3,0,15
NA,NA,NA,NA,NA,NA,NA,2,0
NA,NA,NA,NA,NA,NA,NA,8.5,100
NA,NA,NA,NA,NA,NA,NA,2.5,85
NA,NA,NA,NA,NA,NA,NA,2.5,45
NA,NA,NA,NA,NA,NA,NA,0,15
NA,NA,NA,NA,NA,NA,NA,2.5,60
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,10,50
NA,NA,NA,NA,NA,NA,NA,2.5,77.5
NA,NA,NA,NA,NA,NA,NA,4,50
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0.5,50
NA,NA,NA,NA,NA,NA,NA,2,92.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,2.5,65
NA,NA,NA,NA,NA,NA,NA,2.5,100
53,2,1,3,0,5,2,4,100
26,2,3,3,3,5,2,5.5,50
66,1,1,NA,0,4,5,1,60
29,2,1,3,2,5,3,2.5,100
30,1,1,3,0,5,2,2,92.5
30,2,1,NA,0,5,5,2.5,75
40,1,1,3,1,NA,1,1,50
65,1,1,NA,7,3,4,0,51
37,2,1,3,0,5,4,2.5,50
64,2,1,NA,7,NA,4,0,75
66,1,1,3,5,NA,2,3.5,85
57,2,1,NA,2,5,2,5,37.5
59,1,1,NA,0,5,1,2,70
71,1,1,3,3,NA,2,2,50
24,1,1,3,2,NA,2,7,77.5
61,2,1,NA,0,4,1,13,50
27,1,1,3,2,5,2,3.5,87.5
32,1,1,3,2,NA,3,0,47.5
40,2,2,3,8,NA,4,0,0
69,2,1,NA,5,5,6,6,85
68,2,1,NA,3,4,5,2,45
47,2,2,3,7,1,5,0,0
57,1,1,3,2,4,3,1.5,22.5
65,2,1,NA,7,NA,4,3.5,55
57,2,1,3,0,NA,4,0,50
58,2,1,NA,8,1,5,2,15
54,2,1,3,7,5,5,0,55
60,1,1,3,3,NA,5,2.5,45
58,1,1,3,3,NA,6,0,25
57,2,1,3,2,NA,3,2.5,50
34,1,1,NA,0,4,4,1.5,67.5
62,2,1,3,0,NA,4,0,100
51,2,1,NA,3,4,7,6,50
46,2,1,NA,1,4,2,0,45
25,2,1,3,2,5,3,5,100
39,2,1,NA,0,5,2,3,100
61,1,1,3,1,NA,1,4.5,67.5
56,1,1,3,1,4,6,1,32.5
67,1,1,3,5,2,5,0.5,35
55,2,1,3,2,2,6,0,0
49,2,1,NA,3,3,4,0,85
76,1,3,3,0,NA,4,0,NA
27,2,1,3,0,4,5,1.5,50
27,2,1,NA,0,5,2,8,50
35,1,1,3,7,5,4,2.5,70
50,2,1,NA,8,4,4,0,50
47,2,1,3,1,4,2,0,85
54,2,1,NA,2,5,5,4,75
59,2,3,NA,3,3,4,0,32.5
69,2,1,NA,6,5,6,2.5,70
60,1,1,3,0,4,4,5,85
57,1,3,NA,0,4,4,0,85
51,2,2,3,7,5,5,4.5,100
29,2,2,3,5,4,4,0,50
68,1,2,NA,4,5,1,2,92.5
19,2,1,3,8,NA,5,0,87.5
37,2,2,3,7,NA,4,4,85
21,2,2,3,1,5,3,0,60
20,2,3,3,4,NA,3,0,100
53,1,1,3,7,3,4,0,85
54,1,1,NA,4,5,4,0,72.5
27,2,1,3,2,2,5,0,NA
21,2,3,NA,6,4,5,1.5,60
66,2,2,3,0,5,4,3.5,87.5
30,2,2,3,0,5,3,0,85
57,2,1,NA,8,1,6,1.5,60
78,2,1,3,8,1,6,0,50
25,1,3,NA,3,5,4,0,100
56,1,1,3,2,NA,5,4.5,0
36,2,1,NA,3,4,4,2.5,60
69,1,2,NA,7,1,7,0,50
38,2,1,3,7,NA,4,0,7.5
62,2,2,3,7,NA,4,4.5,77.5
37,2,2,NA,3,4,4,2.5,50
32,2,2,NA,3,1,4,1.5,45
60,2,2,3,1,NA,5,5,50
63,1,1,3,0,5,1,4.5,77.5
50,2,1,1,0,NA,1,0,100
41,1,1,3,7,3,5,1,72.5
58,2,1,3,7,NA,5,4,50
65,2,1,3,7,5,1,15,92.5
46,2,1,3,7,2,6,1.5,37.5
40,1,1,3,2,NA,4,2,60
56,1,1,NA,0,4,4,4.5,65
30,1,1,NA,2,5,1,0,65
70,2,1,3,4,5,2,2,60
68,1,1,NA,8,3,4,1,50
32,1,1,3,3,NA,2,2,75
55,2,1,3,1,3,4,4,77.5
26,1,1,3,2,5,2,4,100
56,1,1,3,7,1,4,2,40
73,1,1,3,5,NA,6,2.5,50
26,2,1,3,3,NA,4,3.5,85
42,1,1,1,0,4,2,0,65
41,2,1,3,0,NA,7,0,7.5
37,2,1,3,7,2,6,0,50
71,2,1,3,2,4,4,3,30
65,1,3,3,0,4,4,0.5,5.5
68,2,3,NA,7,1,6,0,50
39,1,1,3,0,4,5,5,85
41,1,1,3,3,4,2,6.5,72.5
45,2,3,3,5,3,5,0,50
58,2,1,2,0,5,2,5,100
NA,NA,NA,NA,NA,NA,NA,0,92.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,3,15
NA,NA,NA,NA,NA,NA,NA,5.5,75
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,4.5,50
NA,NA,NA,NA,NA,NA,NA,0,50
52,2,1,3,7,NA,5,0,60
25,2,1,3,2,5,4,1.5,75
58,1,1,NA,8,2,4,0,100
67,1,1,3,7,1,6,0,7.5
70,1,1,3,8,NA,6,2.5,22.5
69,2,1,3,8,2,7,0,50
68,1,1,NA,0,5,4,2.5,25
51,1,3,3,7,3,7,0,50
39,1,2,2,2,4,4,0,50
48,2,2,3,4,5,3,1.5,80
65,1,1,3,5,3,4,0,60
43,1,1,NA,0,2,6,2,27.5
80,2,1,NA,2,4,4,0,62.5
22,1,1,3,0,5,NA,5.5,100
38,1,2,3,3,4,5,0,42.5
73,2,1,NA,6,5,6,0,7.5
55,1,1,3,1,NA,2,0,70
50,1,1,NA,1,5,4,1.5,20
40,1,2,3,2,NA,4,1.5,50
52,2,3,3,7,NA,2,0,67.5
25,2,3,3,4,NA,4,0,80
69,1,1,3,2,4,2,2.5,62.5
66,1,1,3,2,NA,3,0,80
62,2,2,NA,8,4,4,4.5,77.5
68,2,1,NA,3,4,4,5,70
56,1,1,3,2,4,5,2.5,30
42,2,3,3,6,NA,5,3.5,70
59,2,1,NA,3,4,6,2.5,50
44,1,1,3,4,5,4,2.5,85
62,2,1,3,7,2,6,2.5,87.5
59,1,1,3,1,NA,3,0.5,60
51,2,1,3,3,5,5,2,82.5
37,1,1,3,0,NA,4,1.5,50
53,1,1,3,3,NA,4,2.5,NA
72,1,1,3,7,5,2,4.5,55
36,2,1,3,1,5,4,0,65
72,1,1,3,7,NA,7,1.5,65
61,1,1,3,0,2,5,2.5,0
24,2,1,NA,0,4,4,5.5,75
36,1,1,3,7,NA,4,0,50
20,1,1,1,5,5,2,6,100
46,1,1,NA,0,5,4,0,50
80,1,1,NA,7,2,6,0,40
58,2,1,3,7,5,4,3.5,85
32,2,1,3,3,NA,3,1.5,70
48,1,1,NA,0,5,4,2.5,100
23,1,1,NA,7,4,5,0,50
44,1,1,3,2,5,3,0.5,65
55,2,2,3,7,NA,4,0,65
NA,NA,NA,NA,NA,NA,NA,10,100
NA,NA,NA,NA,NA,NA,NA,0.5,92.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2,55
NA,NA,NA,NA,NA,NA,NA,0,35
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,0,47.5
NA,NA,NA,NA,NA,NA,NA,6.5,60
NA,NA,NA,NA,NA,NA,NA,2.5,85
NA,NA,NA,NA,NA,NA,NA,1.5,62.5
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,4,92.5
NA,NA,NA,NA,NA,NA,NA,0,7.5
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,3.5,85
NA,NA,NA,NA,NA,NA,NA,2.5,40
NA,NA,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,NA,2,0
NA,NA,NA,NA,NA,NA,NA,1,77.5
NA,NA,NA,NA,NA,NA,NA,2.5,67.5
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,27.5
47,1,1,NA,0,5,4,2.5,60
61,1,1,3,0,NA,2,0,50
23,2,3,3,5,NA,3,2.5,50
25,2,1,3,5,4,2,0.5,82.5
75,2,1,3,3,2,6,0,50
32,1,1,3,0,NA,2,0,100
68,2,1,3,6,4,4,2,55
35,1,1,3,0,NA,6,1.5,50
40,2,1,3,2,5,7,0,NA
68,2,3,NA,0,NA,4,0,15
28,1,1,3,0,5,1,3.5,70
23,1,1,3,3,5,3,1,62.5
47,2,1,3,5,NA,1,6,100
20,1,1,3,3,NA,5,0,50
57,2,1,3,5,NA,3,2.5,100
51,2,2,NA,6,3,4,0,NA
55,1,1,3,7,NA,4,1.5,40
67,2,1,3,0,NA,2,1.5,70
61,2,1,3,0,NA,4,2.5,85
25,1,3,3,2,5,3,0,85
72,1,1,3,5,NA,6,0,55
49,1,1,3,0,NA,4,1,55
31,1,1,3,2,NA,5,2,40
62,1,1,NA,4,5,3,2,70
47,2,1,NA,1,5,1,1.5,33.5
44,2,1,3,7,5,4,1.5,100
62,2,1,NA,0,5,3,0,100
44,2,1,3,4,4,4,0,50
58,2,1,3,2,5,2,4,70
22,1,1,3,4,5,2,4,92.5
20,1,1,NA,7,2,6,2,45
54,2,1,3,7,5,3,2.5,100
59,2,1,3,1,2,5,0,67.5
33,1,1,3,0,5,2,3,80
52,2,1,NA,2,4,4,0.5,50
74,2,1,3,3,5,3,0,85
47,1,2,1,1,NA,1,2.5,100
58,2,1,3,2,5,3,7.5,60
72,2,1,NA,2,5,4,0.5,67.5
60,2,1,3,1,5,3,0,85
70,2,1,3,2,5,2,1.5,100
54,2,1,3,7,5,4,0,85
65,1,2,NA,7,1,5,2,50
46,1,1,NA,5,3,5,0,65
53,1,1,NA,0,5,4,2,50
18,2,1,3,3,NA,3,4,100
34,1,1,3,2,NA,3,4,60
54,2,2,3,7,1,4,0,50
32,2,2,3,2,3,4,2,85
23,2,1,3,7,3,4,0,100
54,1,1,NA,7,4,5,0,50
58,1,1,3,7,1,6,0,50
67,1,1,3,3,2,3,4.5,85
65,2,1,NA,5,2,4,0,57.5
34,2,1,3,5,NA,4,3.5,40
27,2,1,NA,0,5,4,0,47.5
31,1,1,3,2,NA,3,0.5,50
29,1,2,NA,7,5,4,3,50
52,2,1,2,1,5,2,4,50
38,2,1,3,0,4,5,6.5,92.5
53,2,1,3,7,NA,5,0,92.5
69,2,1,NA,1,5,2,2.5,70
77,1,1,3,2,NA,6,0,50
61,1,1,NA,1,2,7,0,50
39,2,1,3,4,2,6,0,50
59,1,2,3,3,NA,6,0,78
50,1,1,3,3,NA,4,0,100
75,1,1,3,0,4,4,0,50
42,1,1,3,7,1,6,0.5,50
76,1,1,NA,3,5,3,0,100
19,2,3,3,3,NA,4,1.5,100
38,1,1,3,8,NA,4,0,50
26,1,1,NA,0,5,4,4.5,100
44,2,1,3,2,NA,4,4.5,50
41,1,1,NA,1,4,6,4.5,50
59,1,1,2,0,NA,1,2,0
52,1,2,NA,5,2,2,0,50
52,2,1,NA,6,5,4,1.5,50
47,2,1,3,6,NA,4,2.5,40
67,2,1,3,7,4,5,0,40
54,1,1,NA,5,1,5,1,0
24,2,2,2,0,4,4,2.5,100
44,2,2,3,3,5,2,2.5,77.5
23,2,1,3,0,NA,2,0,20
25,1,1,3,2,NA,3,0,82.5
54,2,1,3,3,NA,5,2.5,67.5
74,1,1,3,2,NA,5,0,37.5
40,2,1,NA,2,5,2,1.5,72.5
57,2,1,3,5,NA,6,0,50
31,1,1,NA,0,4,3,2.5,100
58,1,1,3,0,5,3,5,100
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,40
NA,NA,NA,NA,NA,NA,NA,0,40
NA,NA,NA,NA,NA,NA,NA,3.5,60
NA,NA,NA,NA,NA,NA,NA,4,50
NA,NA,NA,NA,NA,NA,NA,4,85
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0.5,65
NA,NA,NA,NA,NA,NA,NA,0.5,40
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,80
NA,NA,NA,NA,NA,NA,NA,2.5,40
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,3.5,100
NA,NA,NA,NA,NA,NA,NA,2,40
NA,NA,NA,NA,NA,NA,NA,2,55
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,6.5,50
NA,NA,NA,NA,NA,NA,NA,1.5,55
NA,NA,NA,NA,NA,NA,NA,6,100
NA,NA,NA,NA,NA,NA,NA,0,5
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,4,80
NA,NA,NA,NA,NA,NA,NA,2.5,65
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,0,30
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,0.5,25
NA,NA,NA,NA,NA,NA,NA,1.5,85
NA,NA,NA,NA,NA,NA,NA,2,55
NA,NA,NA,NA,NA,NA,NA,2,92.5
NA,NA,NA,NA,NA,NA,NA,0,77.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,50
